"Date","Price","Open","High","Low","Vol.","Change %"
"03/20/2022","601.34","559.78","601.80","559.78","1.14B","7.42%"
"03/13/2022","559.78","580.55","580.55","532.72","1.63B","-3.58%"
"03/06/2022","580.55","569.81","607.27","556.49","2.10B","1.88%"
"02/27/2022","569.81","521.54","569.89","515.00","1.67B","9.26%"
"02/20/2022","521.54","514.82","530.48","495.06","1.01B","1.31%"
"02/13/2022","514.82","534.65","534.65","505.58","990.19M","-3.71%"
"02/06/2022","534.65","525.45","537.27","516.96","1.05B","1.75%"
"01/30/2022","525.45","500.72","534.23","491.86","1.13B","4.94%"
"01/23/2022","500.72","476.81","511.38","456.98","1.34B","5.01%"
"01/16/2022","476.81","491.98","499.87","471.75","889.70M","-3.08%"
"01/09/2022","491.98","467.58","492.57","460.24","1.03B","5.22%"
"01/02/2022","467.58","422.74","468.77","422.74","1.07B","10.61%"
"12/26/2021","422.74","418.37","431.31","413.69","544.93M","1.04%"
"12/19/2021","418.37","408.68","424.05","393.89","601.98M","2.37%"
"12/12/2021","408.68","430.61","430.61","405.61","1.04B","-5.09%"
"12/05/2021","430.61","415.28","435.79","415.28","786.20M","3.69%"
"11/28/2021","415.28","418.74","432.33","402.44","1.21B","-0.83%"
"11/21/2021","418.74","411.91","438.83","408.30","720.02M","1.66%"
"11/14/2021","411.91","434.60","442.34","411.16","831.66M","-5.22%"
"11/07/2021","434.60","442.00","450.54","432.00","720.12M","-1.67%"
"10/31/2021","442.00","436.19","444.40","432.07","896.29M","1.33%"
"10/24/2021","436.19","439.56","450.83","434.43","850.32M","-0.77%"
"10/17/2021","439.56","434.44","443.62","432.10","932.46M","1.18%"
"10/10/2021","434.44","429.46","438.73","420.00","923.90M","1.16%"
"10/03/2021","429.46","408.94","430.49","406.49","1.28B","5.02%"
"09/26/2021","408.94","386.57","409.45","386.57","1.22B","5.79%"
"09/19/2021","386.57","369.23","388.38","352.30","956.28M","4.70%"
"09/12/2021","369.23","357.39","376.26","357.39","1.18B","3.31%"
"09/05/2021","357.39","363.88","366.44","352.94","581.83M","-1.78%"
"08/29/2021","363.88","369.21","371.96","355.60","839.73M","-1.44%"
"08/22/2021","369.21","343.95","371.71","343.95","754.97M","7.34%"
"08/15/2021","343.95","371.14","371.14","338.39","885.27M","-7.33%"
"08/08/2021","371.14","374.19","378.51","366.21","692.96M","-0.82%"
"08/01/2021","374.19","372.99","382.50","365.84","882.09M","0.32%"
"07/25/2021","372.99","367.17","382.26","367.17","806.61M","1.59%"
"07/18/2021","367.17","368.60","375.89","350.69","1.00B","-0.39%"
"07/11/2021","368.60","399.42","401.97","367.74","828.22M","-7.72%"
"07/04/2021","399.42","413.52","413.52","385.62","699.20M","-3.41%"
"06/27/2021","413.52","418.03","418.03","401.81","826.56M","-1.08%"
"06/20/2021","418.03","391.92","419.92","391.92","859.09M","6.66%"
"06/13/2021","391.92","413.47","422.76","391.77","1.13B","-5.21%"
"06/06/2021","413.47","415.85","423.12","408.19","844.69M","-0.57%"
"05/30/2021","415.85","389.82","417.76","389.82","931.67M","6.68%"
"05/23/2021","389.82","389.91","394.67","384.31","1.00B","-0.02%"
"05/16/2021","389.91","401.29","410.81","383.89","952.19M","-2.84%"
"05/09/2021","401.29","404.65","415.73","384.24","1.10B","-0.83%"
"05/02/2021","404.65","371.60","405.02","371.60","1.02B","8.89%"
"04/25/2021","371.60","358.74","386.60","358.20","931.27M","3.58%"
"04/18/2021","358.74","365.19","368.80","349.33","869.06M","-1.77%"
"04/11/2021","365.19","364.35","376.40","357.94","829.90M","0.23%"
"04/04/2021","364.35","379.71","379.71","362.16","860.06M","-4.05%"
"03/28/2021","379.71","381.18","381.18","369.07","716.38M","-0.39%"
"03/21/2021","381.18","370.11","381.49","356.95","1.06B","2.99%"
"03/14/2021","370.11","400.82","400.82","365.24","1.28B","-7.66%"
"03/07/2021","400.82","396.54","406.81","387.92","1.14B","1.08%"
"02/28/2021","396.54","360.19","397.18","360.19","1.37B","10.09%"
"02/21/2021","360.19","345.23","379.30","345.23","1.36B","4.33%"
"02/14/2021","345.23","334.99","349.68","334.99","762.27M","3.06%"
"02/07/2021","334.99","321.10","336.10","321.10","1.19B","4.33%"
"01/31/2021","321.10","296.52","324.33","293.59","1.02B","8.29%"
"01/24/2021","296.52","317.54","321.54","295.34","1.22B","-6.62%"
"01/17/2021","317.54","322.58","332.61","309.71","924.00M","-1.56%"
"01/10/2021","322.58","312.78","339.85","304.60","1.33B","3.13%"
"01/03/2021","312.78","286.14","316.90","283.30","1.39B","9.31%"
"12/27/2020","286.14","287.38","292.42","282.78","619.21M","-0.43%"
"12/20/2020","287.38","293.33","293.33","279.67","689.12M","-2.03%"
"12/13/2020","293.33","306.38","310.85","291.33","1.31B","-4.26%"
"12/06/2020","306.38","302.94","313.40","292.51","1.33B","1.14%"
"11/29/2020","302.94","289.99","302.96","273.78","1.47B","4.47%"
"11/22/2020","289.99","267.24","301.70","267.24","1.03B","8.51%"
"11/15/2020","267.24","254.55","275.69","254.55","1.30B","4.99%"
"11/08/2020","254.55","218.58","258.86","218.58","1.58B","16.46%"
"11/01/2020","218.58","216.82","228.80","215.95","1.34B","0.81%"
"10/25/2020","216.82","229.96","229.96","204.51","1.39B","-5.71%"
"10/18/2020","229.96","228.78","233.84","221.13","1.29B","0.52%"
"10/11/2020","228.78","233.68","236.81","225.54","1.06B","-2.10%"
"10/04/2020","233.68","222.55","240.14","222.55","1.10B","5.00%"
"09/27/2020","222.55","229.09","237.02","214.35","1.33B","-2.85%"
"09/20/2020","229.09","250.65","250.65","224.26","1.21B","-8.60%"
"09/13/2020","250.65","243.58","256.27","242.30","1.36B","2.90%"
"09/06/2020","243.58","260.32","260.32","241.46","1.15B","-6.43%"
"08/30/2020","260.32","272.48","272.76","257.11","1.13B","-4.46%"
"08/23/2020","272.48","269.45","278.71","264.15","894.27M","1.12%"
"08/16/2020","269.45","286.99","286.99","267.01","893.17M","-6.11%"
"08/09/2020","286.99","280.59","298.49","280.59","1.05B","2.28%"
"08/02/2020","280.59","272.09","285.83","269.88","1.11B","3.12%"
"07/26/2020","272.09","284.11","285.88","266.58","1.14B","-4.23%"
"07/19/2020","284.11","278.27","292.24","273.45","1.25B","2.10%"
"07/12/2020","278.27","270.32","286.35","266.48","1.00B","2.94%"
"07/05/2020","270.32","283.46","290.23","260.78","1.12B","-4.64%"
"06/28/2020","283.46","277.30","292.49","276.11","923.78M","2.22%"
"06/21/2020","277.30","296.40","303.25","276.29","1.23B","-6.44%"
"06/14/2020","296.40","299.28","314.21","283.60","1.51B","-0.96%"
"06/07/2020","299.28","336.52","351.11","290.91","1.83B","-11.07%"
"05/31/2020","336.52","291.59","339.33","287.20","1.57B","15.41%"
"05/24/2020","291.59","288.94","303.18","285.33","1.31B","0.92%"
"05/17/2020","288.94","272.31","297.70","272.31","1.35B","6.11%"
"05/10/2020","272.31","294.75","294.75","259.46","1.34B","-7.61%"
"05/03/2020","294.75","272.28","296.21","266.99","1.47B","8.25%"
"04/26/2020","272.28","264.51","296.97","256.89","1.77B","2.94%"
"04/19/2020","264.51","260.17","271.33","240.46","1.99B","1.67%"
"04/12/2020","260.17","259.63","268.77","235.05","1.79B","0.21%"
"04/05/2020","259.63","229.26","279.00","229.26","1.93B","13.25%"
"03/29/2020","229.26","217.56","243.25","208.26","2.34B","5.38%"
"03/22/2020","217.56","193.93","237.74","178.04","2.17B","12.18%"
"03/15/2020","193.93","241.29","241.29","172.45","2.52B","-19.63%"
"03/08/2020","241.29","318.64","318.64","215.83","3.29B","-24.28%"
"03/01/2020","318.64","343.53","359.75","314.02","1.62B","-7.25%"
"02/23/2020","343.53","405.93","405.93","325.99","1.63B","-15.37%"
"02/16/2020","405.93","409.82","415.68","402.65","670.53M","-0.95%"
"02/09/2020","409.82","408.55","417.20","402.79","793.32M","0.31%"
"02/02/2020","408.55","405.45","417.44","398.56","839.18M","0.76%"
"01/26/2020","405.45","429.71","429.71","403.32","996.73M","-5.65%"
"01/19/2020","429.71","448.77","448.77","426.70","734.20M","-4.25%"
"01/12/2020","448.77","453.87","455.66","448.09","764.41M","-1.12%"
"01/05/2020","453.87","458.77","464.81","447.94","909.46M","-1.07%"
"12/29/2019","458.77","454.96","465.54","449.95","542.88M","0.84%"
"12/22/2019","454.96","452.48","460.55","451.67","420.10M","0.55%"
"12/15/2019","452.48","441.35","453.32","441.35","963.99M","2.52%"
"12/08/2019","441.35","437.91","448.92","433.93","769.12M","0.79%"
"12/01/2019","437.91","431.37","438.85","423.57","839.90M","1.52%"
"11/24/2019","431.37","438.15","439.43","430.07","590.91M","-1.55%"
"11/17/2019","438.15","440.43","442.53","425.47","795.38M","-0.52%"
"11/10/2019","440.43","446.13","447.13","436.09","713.08M","-1.28%"
